review,sentiment
"I love this product! Amazing quality and fast delivery","positive"
"The support team was terrible, no response for days","negative"
"It's okay, nothing special about it","neutral"
"Best purchase ever! Highly recommend to everyone","positive"
"Very disappointed with the product quality","negative"
"Average experience, expected better service","neutral"
"Outstanding customer service and product","positive"
"Worst experience ever, will never buy again","negative"
"Decent product for the price","neutral"
"Absolutely fantastic! 5 stars all the way","positive"
